,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,User11,User12,User13,User14,User15,User16,User17,User18,User19,User20,User21,User22,User23,User24,User25,User26,User27,User28,User29,User30,User31,User32,User33,User34,User35,User36,User37,User38,User39,User40,User41,User42,User43,User44,User45,User46,User47,User48,User49,User50,User51,User52,User53,User54,User55,User56,User57,User58,User59,User60,User61,User62,User63,User64,User65,User66,User67,User68,User69,User70,User71,User72,User73,User74,User75,User76,User77,User78,User79,User80,User81,User82,User83,User84,User85,User86,User87,User88,User89,User90,User91,User92,User93,User94,User95,User96,User97,User98,User99,User100
The Flash,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,,2.0,5.0,1.0,4.0,5.0,4.0,4.0,,4.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,5.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,,2.0,3.0,3.0,4.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,,4.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,1.0,,,4.0,4.0,,5.0,,5.0,4.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0
Moe,1.0,5.0,,4.0,,5.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,,1.0,4.0,,2.0,3.0,4.0,5.0,5.0,2.0,,4.0,2.0,4.0,5.0,2.0,1.0,2.0,3.0,5.0,1.0,4.0,,5.0,5.0,3.0,2.0,5.0,5.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,3.0,5.0,,2.0,2.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,5.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,4.0,5.0,5.0,,2.0,2.0,,5.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,,,4.0,5.0,2.0,4.0,,3.0,5.0,4.0,4.0,1.0,5.0
American Surfrider,3.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,,3.0,5.0,4.0,1.0,3.0,5.0,,,4.0,5.0,2.0,3.0,,3.0,3.0,5.0,3.0,1.0,5.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,,3.0,3.0,,4.0,2.0,1.0,,5.0,,3.0,5.0,1.0,4.0,,5.0,4.0,5.0,3.0,2.0,,4.0,2.0,,1.0,,4.0,4.0,4.0,2.0,5.0,3.0,2.0,5.0,3.0,,4.0,3.0,4.0,,2.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0
"L'homme au bâton, une légende créole",5.0,,3.0,3.0,3.0,4.0,5.0,4.0,5.0,1.0,5.0,3.0,5.0,1.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,3.0,5.0,,,4.0,2.0,1.0,1.0,,2.0,4.0,,3.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,,4.0,5.0,2.0,3.0,1.0,3.0,,5.0,,2.0,3.0,5.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,5.0,3.0,3.0,5.0,,4.0,1.0,3.0,5.0,4.0,5.0,2.0,3.0
Family Business,5.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,,5.0,1.0,3.0,5.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,,5.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,,4.0,5.0,1.0,2.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,,4.0,2.0,4.0,1.0,5.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,,4.0,4.0,1.0,4.0,1.0,2.0,1.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,,3.0,1.0,2.0,5.0,3.0,4.0,5.0,1.0,5.0,1.0,1.0
Rain Falls from Earth: Surviving Cambodia's Darkest Hour,4.0,2.0,5.0,2.0,3.0,5.0,5.0,1.0,2.0,,4.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,5.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,5.0,,1.0,3.0,1.0,2.0,4.0,3.0,1.0,,2.0,3.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,1.0,5.0,,5.0,4.0,4.0,3.0,4.0,,1.0,3.0,3.0,2.0,4.0,1.0,1.0,,2.0,1.0,3.0,3.0,5.0,,2.0,4.0,5.0,3.0,1.0,3.0,4.0,3.0,,2.0
Neil,5.0,5.0,1.0,1.0,3.0,5.0,3.0,2.0,2.0,1.0,,4.0,,3.0,2.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,5.0,1.0,2.0,1.0,,3.0,,5.0,2.0,2.0,,3.0,4.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,,1.0,1.0,1.0,4.0,5.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,,4.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,1.0,3.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,,3.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0
A Small Problem,5.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0,,5.0,1.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,4.0,,5.0,5.0,4.0,5.0,3.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,5.0,4.0,,,,1.0,,4.0,,1.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,1.0,5.0,4.0,1.0,3.0,3.0,1.0,5.0,4.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,5.0,1.0,4.0,2.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,5.0,5.0,2.0
Maybe It's True What They Say About Us,,5.0,3.0,1.0,,4.0,,5.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,1.0,2.0,5.0,3.0,3.0,5.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,1.0,2.0,,3.0,4.0,3.0,3.0,5.0,,3.0,3.0,5.0,3.0,,2.0,1.0,,5.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,2.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0,1.0,
The Problem with People,,4.0,4.0,4.0,5.0,4.0,5.0,1.0,4.0,2.0,1.0,5.0,5.0,,,3.0,1.0,1.0,3.0,,5.0,4.0,4.0,5.0,3.0,,1.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,,5.0,5.0,2.0,1.0,3.0,,3.0,2.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,1.0,,3.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,,4.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,1.0,5.0,,4.0,2.0,5.0,,4.0,5.0,4.0,3.0
September,4.0,4.0,1.0,5.0,4.0,4.0,,3.0,3.0,3.0,2.0,2.0,5.0,3.0,,5.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,,1.0,2.0,3.0,2.0,,2.0,,4.0,2.0,5.0,2.0,3.0,4.0,3.0,,,,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,,1.0,,3.0,3.0,5.0,1.0,1.0,4.0,5.0,5.0,2.0,5.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,5.0,,3.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,1.0,,3.0
The Last Voyage of the Demeter,2.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,4.0,5.0,1.0,3.0,5.0,4.0,,5.0,3.0,2.0,5.0,5.0,5.0,3.0,,5.0,5.0,2.0,3.0,1.0,,,3.0,,4.0,3.0,3.0,5.0,5.0,2.0,2.0,,2.0,4.0,4.0,5.0,5.0,3.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,,3.0,3.0,,1.0,4.0,4.0,4.0,3.0,3.0,4.0,,4.0,4.0,2.0,,2.0,3.0,3.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,5.0,3.0,5.0
The Dog Thief,1.0,3.0,2.0,3.0,5.0,2.0,2.0,,2.0,,4.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,,1.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,,3.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,5.0,,4.0,5.0,5.0,3.0,4.0,4.0,,2.0,3.0,5.0,1.0,3.0,2.0,1.0,3.0,5.0,3.0,5.0,3.0,,,4.0,1.0,5.0,5.0,4.0,,3.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,,1.0,,2.0,5.0,1.0,
Power Alley,5.0,3.0,1.0,5.0,3.0,1.0,1.0,4.0,4.0,3.0,,1.0,2.0,4.0,,4.0,2.0,,4.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,1.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,,3.0,4.0,3.0,3.0,5.0,3.0,2.0,,2.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,,2.0,5.0,5.0,3.0,4.0,,3.0,4.0,1.0,4.0,1.0,,2.0,,1.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,4.0,,3.0,4.0,1.0,3.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,
Falling Stars,5.0,3.0,4.0,5.0,5.0,4.0,,2.0,,5.0,1.0,5.0,3.0,,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,,1.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,5.0,2.0,3.0,,,1.0,5.0,,4.0,3.0,,,4.0,5.0,5.0,4.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,,4.0,4.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,,5.0,3.0,,1.0,1.0,2.0,3.0,,2.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0
The Probe,3.0,5.0,1.0,4.0,4.0,,5.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,,4.0,1.0,1.0,3.0,3.0,4.0,5.0,2.0,3.0,,2.0,2.0,5.0,,5.0,3.0,3.0,3.0,,5.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,5.0,5.0,3.0,,3.0,1.0,5.0,3.0,2.0,3.0,3.0,,,1.0,3.0,1.0,3.0,2.0,,,4.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0,,2.0,5.0,1.0,1.0,3.0,1.0,4.0,3.0,5.0,1.0,2.0,,1.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0,5.0,4.0
The Christmas Spirit,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,,5.0,3.0,3.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,4.0,,3.0,,1.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,5.0,2.0,1.0,2.0,3.0,5.0,2.0,,5.0,,3.0,4.0,4.0,3.0,,1.0,5.0,2.0,,2.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,2.0,5.0,5.0,1.0,1.0,4.0,,2.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0
Fear and Love: The Story of the Exorcist,5.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,,2.0,,2.0,5.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,2.0,5.0,3.0,5.0,1.0,5.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,5.0,,3.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,3.0,1.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,,5.0,5.0,2.0,1.0,2.0,,3.0,5.0,3.0,3.0,1.0
Amityville: Where the Echo Lives,,1.0,2.0,,4.0,4.0,,4.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,,5.0,4.0,2.0,1.0,3.0,4.0,,2.0,1.0,5.0,,5.0,3.0,,,1.0,4.0,4.0,4.0,4.0,,1.0,2.0,5.0,1.0,2.0,,4.0,5.0,2.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,4.0,1.0,2.0,3.0,4.0,4.0,,2.0,4.0,2.0,5.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,5.0,,2.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,1.0,,3.0,5.0,3.0,2.0,
The Caravan,4.0,2.0,5.0,5.0,3.0,1.0,5.0,4.0,,3.0,5.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,5.0,2.0,,1.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,,3.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,,5.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,3.0,5.0,4.0,1.0,5.0,5.0,3.0,2.0,5.0,1.0,,5.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0
Verano No Miente,5.0,5.0,1.0,2.0,4.0,5.0,2.0,,,5.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,3.0,2.0,,5.0,5.0,3.0,2.0,4.0,,1.0,2.0,2.0,2.0,1.0,,4.0,1.0,2.0,1.0,,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,,3.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,2.0,,4.0,5.0,4.0,,4.0,4.0,,5.0,3.0,5.0,3.0,2.0,5.0,1.0,5.0,4.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0
Flight Risk,3.0,,1.0,2.0,4.0,2.0,,5.0,1.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,,1.0,2.0,,5.0,1.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,1.0,,3.0,5.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,,1.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,,2.0,5.0,,4.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,,5.0,5.0,,4.0,3.0,3.0,,4.0,2.0,2.0,,1.0,1.0,5.0,,2.0
Art of Eight Limbs,4.0,3.0,5.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,,5.0,4.0,5.0,2.0,2.0,5.0,1.0,5.0,2.0,,4.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,2.0,,3.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,,2.0,4.0,3.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,,5.0,2.0,5.0,3.0,4.0,5.0,1.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,1.0,,4.0,1.0,3.0,5.0,5.0,,3.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,5.0,3.0,2.0,,5.0
Lady Scorpions,2.0,5.0,3.0,,2.0,3.0,4.0,4.0,5.0,,2.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,5.0,2.0,5.0,4.0,4.0,2.0,,2.0,4.0,5.0,3.0,5.0,1.0,1.0,,2.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,,1.0,2.0,1.0,1.0,5.0,3.0,3.0,3.0,,1.0,3.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,,5.0,4.0,3.0,5.0,2.0,1.0,3.0,4.0,2.0,2.0,,2.0,3.0,3.0,1.0,2.0,5.0,5.0,3.0
The Lockdown,4.0,2.0,5.0,3.0,,3.0,5.0,3.0,2.0,5.0,4.0,5.0,2.0,2.0,5.0,2.0,1.0,4.0,,3.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,2.0,4.0,,3.0,1.0,4.0,4.0,,2.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0,4.0,2.0,,2.0,5.0,5.0,3.0,4.0,5.0,1.0,5.0,1.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,,,4.0,4.0,2.0,,5.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,,1.0,4.0,3.0,2.0,,4.0,2.0,4.0,1.0,4.0,2.0,3.0,4.0,3.0
